,name,github_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,description,contributor_count,projectrank,show,category,projectrank_placing,trending,updated_github_id,dependent_project_count,github_dependent_project_count
155,PAPA,SamsungSAILMontreal/PAPA,https://github.com/SamsungSAILMontreal/PAPA,https://github.com/SamsungSAILMontreal/PAPA,MIT,2023-04-06 13:47:22,2024-04-11 16:57:48,2024-04-11 16:57:48,17.0,,6.0,3.0,,,,31.0,,,,,,Repository for the PopulAtion Parameter Averaging (PAPA) paper.,,7,False,others,3.0,,,,
156,lwm,princeton-nlp/lwm,https://github.com/princeton-nlp/lwm,https://github.com/princeton-nlp/lwm,GPL-3.0,2024-01-17 21:48:17,2024-02-10 02:53:57,2024-02-10 02:53:57,27.0,,3.0,7.0,,4.0,,25.0,,,,,,We develop world models that can be adapted with natural language. Intergrating these models into artificial agents..,7.0,7,False,others,3.0,,,,
157,brainmagick,facebookresearch/brainmagick,https://github.com/facebookresearch/brainmagick,https://github.com/facebookresearch/brainmagick,,2023-06-19 13:27:30,2024-03-12 17:49:40,2024-03-12 17:49:40,6.0,,71.0,16.0,3.0,,4.0,462.0,,,,,,Training and evaluation pipeline for MEG and EEG brain signal encoding and decoding using deep learning. Code for our..,2.0,6,False,others,3.0,,,,
158,Evolutionary-Reinforcement-Learning,ShawK91/Evolutionary-Reinforcement-Learning,https://github.com/ShawK91/Evolutionary-Reinforcement-Learning,https://github.com/ShawK91/Evolutionary-Reinforcement-Learning,,2018-10-19 23:38:05,2020-09-13 22:26:13,2020-09-13 22:25:50,14.0,,60.0,4.0,,4.0,1.0,249.0,,,,,,Codebase for Evolutionary Reinforcement Learning (ERL) from the paper Evolution-Guided Policy Gradients in..,,6,False,others,3.0,,,,
159,ReConcile,dinobby/ReConcile,https://github.com/dinobby/ReConcile,https://github.com/dinobby/ReConcile,MIT,2023-09-24 22:21:37,2023-10-03 15:09:54,2023-09-26 03:15:36,5.0,,16.0,3.0,2.0,3.0,1.0,202.0,,,,,,,,6,False,others,3.0,,,,
160,Python_Benchmark_Test_Optimization_Function_Single_Objective,AxelThevenot/Python_Benchmark_Test_Optimization_Function_Single_Objective,https://github.com/AxelThevenot/Python_Benchmark_Test_Optimization_Function_Single_Objective,https://github.com/AxelThevenot/Python_Benchmark_Test_Optimization_Function_Single_Objective,MIT,2020-12-31 14:10:42,2023-01-20 21:30:19,2023-01-20 21:30:19,16.0,,30.0,1.0,2.0,10.0,,87.0,,,,,,,3.0,6,False,others,3.0,,,,
161,poppy,instadeepai/poppy,https://github.com/instadeepai/poppy,https://github.com/instadeepai/poppy,Apache-2.0,2022-09-29 11:55:46,2024-02-12 18:36:36,2024-02-12 17:42:13,1.0,,15.0,7.0,,,,87.0,,,,,,Population-Based Reinforcement Learning for Combinatorial Optimization.,,6,False,others,3.0,,,,
162,how-to-autorl,facebookresearch/how-to-autorl,https://github.com/facebookresearch/how-to-autorl,https://github.com/facebookresearch/how-to-autorl,Apache-2.0,2023-02-07 10:21:08,2023-11-27 09:24:01,2023-09-14 19:49:04,14.0,,16.0,1.0,19.0,4.0,,86.0,,,,,,Plug-and-play hydra sweepers for the EA-based multifidelity method DEHB and several population-based training..,4.0,6,False,others,3.0,,,,
163,intelligent-go-explore,conglu1997/intelligent-go-explore,https://github.com/conglu1997/intelligent-go-explore,https://github.com/conglu1997/intelligent-go-explore,MIT,2024-05-27 09:25:20,2025-02-25 19:11:36,2025-02-25 19:11:36,7.0,,5.0,4.0,,3.0,,66.0,,,,,,Intelligent Go-Explore: Standing on the Shoulders of Giant Foundation Models.,2.0,6,False,others,3.0,,,,
164,population-based-training,angusfung/population-based-training,https://github.com/angusfung/population-based-training,https://github.com/angusfung/population-based-training,,2018-03-20 02:34:02,2018-09-21 01:09:20,2018-09-21 01:09:19,83.0,,8.0,,,2.0,,55.0,,,,,,Reproducing results from DeepMinds paper on Population Based Training of Neural Networks.,,6,False,others,3.0,,,,
165,model-evolution,duguodong7/model-evolution,https://github.com/duguodong7/model-evolution,https://github.com/duguodong7/model-evolution,Apache-2.0,2024-06-04 03:20:41,2024-09-19 12:34:15,2024-09-19 12:34:15,9.0,,,,,,,39.0,,,,,,[ACL 2024] Knowledge Fusion by Evolving Weights of Language Models.,,6,False,others,3.0,,,,
